Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
The Meditation Film Project (Binaural Evolution),2022,,Sci-Fi,"The Meditation Film Project (Binaural Evolution): Directed by Cice Rivera. With Keanu Blye, Cice Rivera.",,Cice Rivera,"Cice Rivera,Keanu Blye","Cice Rivera,Keanu Blye"
Sacrifice,2010,6.2,Sci-Fi,1h 7m,,Bob Nelson,"Bob Nelson,Sharon Skinner","Brent Heffron,Shanda Lee Munson,Heather Liebenow"
Waiting for Dawn,2008,,"Drama,Fantasy,Romance",1h 30m,,James T. Williams,,"Rowan M. Ashe,Pip Bayley,Jo Caldwell"
Lion Suit Dreamscape,2016,,"Drama,Mystery,Romance",1h 41m,,Hans Chilberg,,"Brian Stone,Kristenmichelle Franks,Pap Shirock"
A léleklátó sugár,1918,4.8,Sci-Fi,1h,,Alfréd Deésy,,"Gusztáv Turán,Annie Góth,Gyula Fehér"
K beregu pyatogo okeana,1991,,"Adventure,Sci-Fi","K beregu pyatogo okeana: Directed by Igor Kulkov. With Yuri Gusev, Anatoli Meshcheryakov, Yelena Lomakina, Aleksey Nekrasov. Already twice a mysterious fireball descended into the deep taiga, forming a mysterious zone in the landing area. From distant Petersburg, a young scientist, an enthusiast Kairov, is going to the zone. Hearing that in the zone called ""Devil's Ring"", full of gold, his random companion Kuzmin, a thief and an adventurer, stole the looted jewelry together from his accomplices, sets off for Kairov. He is not afraid of the local claims that ""damn gold"" does not bring good to anyone. Nor does it stop that on the heels of ex-friends who are offended in their best feelings by the insidiousness of their comrade and who are ready to deal with him, with his learned companion, and with each other too, just to get hold of jewelry and gold.",,Igor Kulkov,,"Anatoli Meshcheryakov,Yelena Lomakina,Yuri Gusev"
Lakeside: A Year with Jay Lake,2013,,"Documentary,Biography,Family",1h 22m,,Donnie G. Reynolds,,"Bronwyn Lake,Jay Lake"
Area 51 Motel,2017,,Sci-Fi,1h 27m,,Colleen Kwok,,"Xu Ao,Tony Xu,Bo Qiu"
Resist!,2016,,"Action,Adventure,Horror",1h 8m,,"Kenny Davis,Cory Combs","Kenny Davis,Cory Combs","Ashley Whittaker,Shawn Turpen,Maren McGuire"
Ermon County: Gateway of the Fallen,2015,,"Mystery,Sci-Fi,Thriller",1h 36m,,Dave Jacombs Jr.,,"Ryan Fisher,Darryl Dougherty,Geoffrey Cameron"
"In, Through, and Beyond",2010,,Sci-Fi,1h 30m,,Harold Healy,,"Michael Sean Erickson,Holly Hung"
Quarantined,2009,7.6,"Comedy,Drama,Sci-Fi",1h 28m , Not Rated,Sean Stearley,"Todd Brown,Chuck Soder,Sean Stearley","Dee Arnos,Kit Bateman,Corey Allen"
Exodus,2013,7.0,Sci-Fi,1h 14m,,Mina Radovic,"Mina Radovic,Boris Bosilkov","Aydan Butt,Boris Bosilkov,Molly Lambert"
Os Segredos de Kanicarnika,2019,,"Action,Sci-Fi",2h 20m,,,,"Sara Kohly,Dhayanna Chistian,Levi Avelino"
Oceano Atlantis,1993,7.5,Sci-Fi,1h 20m,,Francisco de Paula,"Ciro Pessoa,Francisco de Paula","Danielle Daumerie,Arduíno Colassanti,Antonio Abujamra"
Letniye vpechatleniya o planete Z,1987,6.0,"Family,Sci-Fi",2h 18m,,Yevgeni Markovsky,,"Giedrius Puskunigis,Sergey Shakurov,Arnas Katinas"
Area:98,2016,3.6,"Action,Drama,Mystery",1h 2m,,Stephen Hess,,"Giovanny Vazquez,Carrie Schnelker,Karen Wetterhahn"
Kwai Boo,2015,4.8,"Animation,Adventure,Comedy",1h 35m,,Yunfei Wang,,"Tianxiang Yang,Yunfei Wang,Xiaoxi Tang"
Helena y el Tiempo,2022,,Sci-Fi,1h 17m,,Rodrigo Durana,,"Ivon Patiño,Gil Rodríguez,Julia Iturbe"
The Legend of Bill Foster,2014,,"Action,Adventure,Comedy","The Legend of Bill Foster: Directed by Brandon Bradley Robison. With Allen Boyd, Eli Clemens, Will Clemens, Josh 'Atticus' Clement. A brother on a quest for revenge.",,Brandon Bradley Robison,"Corey Hale,Brandi Laxton,Clinton Houseman","Eli Clemens,Allen Boyd,Will Clemens"
The STARSEED Incident,2004,,Sci-Fi,1h 20m,,"Antone Pagán,Myztico Campo","Antone Pagán,Myztico Campo","Nicole Betancourt,Corina Katt Ayala,Luis Arriaga"
LeRoy the Space Cowboy,2014,,"Documentary,Comedy,Fantasy",1h 31m,,,,
Future Girl,2000,,Sci-Fi,Future Girl: With Todo Segalla.,,,,
Galactic Blitz,2018,,"Animation,Sci-Fi",1h 7m,,Dwayne Conyers,"Raphaello,Dwayne Conyers","Alice Ko,Chas Scherer,Marneen Fields"
Capitan Basilico,2008,5.3,Sci-Fi,2h,,Massimo Morini,"Enrica Guidotti,Andrea Di Marco,Massimo Morini","Ale,Maurizio Baggetta,Davide Ageno"
Die Show,2017,,Sci-Fi,"Die Show: Directed by Alexander Nowak. With Julien Francis Bisesi, Christian Bäucker, Claude Bäucker, Fanny Bäucker.",,Alexander Nowak,,"Christian Bäucker,Julien Francis Bisesi,Claude Bäucker"
The Elegant Clockwork of the Universe,2013,6.2,"Drama,Mystery,Sci-Fi",1h 45m , Not Rated,Malik Isasis,,"Teresa Stephenson,Nikhil Melnechuk,Patricia Gil de Rubio"
Heads of Control: The Gorul Baheu Brain Expedition,2006,6.4,"Comedy,Sci-Fi",1h 33m,,Pat Tremblay,,"Neil Napier,Lexei Bacci,Paul van den Boom"
Sergeant Keroro the Super Movie,2006,6.3,"Animation,Comedy,Sci-Fi",1h,,"Jun'ichi Satô,Nobuhiro Kondô","Mamiko Ikeda,Mine Yoshizaki","Ken Yahagi,Kumiko Watanabe,Hiroaki Ogi"
Anokha,2004,4.7,"Drama,Comedy,Romance",2h 30m,,K. Raj Srivastava,,"Maneka Shewa,Vivek Malhotra,Prateek Saxena"
USB-urrito,2023,,Sci-Fi,3m,,Norman Bertolino,,
Shadows,2008,,"Drama,Mystery,Sci-Fi",1h 9m,,Joseph Henson,,"George Stumpf,Heather R. Provost,Jesse Dinkel"
Die ersten Tage,1971,5.5,"Adventure,Drama,Fantasy",1h 22m,,Herbert Holba,"Wilhelm Pellert,Ernst A. Ekker,Herbert Holba","Olga Felber,Heinz Herki,Ariane Niehoff"
The Mutagen,1988,,"Horror,Sci-Fi,Thriller","The Mutagen: Directed by Eli Necakov. With Jacqueline Samuda, Les Williams. A mad scientist injects his victims with a formula that turns them into crazed killers.",,Eli Necakov,"Terence Gadsden,Eli Necakov","Jacqueline Samuda,Les Williams"
Terminal Legacy,2012,6.0,"Action,Drama,Sci-Fi","Terminal Legacy: Directed by Brian Kazmarck. With Cuyle Carvin, Kazy Tauginas, Whitney Kirk, Victor Verhaeghe. When an experiment for a new miracle drug goes terribly wrong, the scientists responsible must race to prevent an apocalyptic event from occurring.",,Brian Kazmarck,"Brian Kazmarck,Kazy Tauginas","Cuyle Carvin,Kazy Tauginas,Whitney Kirk"
The City That Never Sleeps,2009,,"Adventure,Fantasy,Horror",1h 15m,,J. Alan Carr,,"Randi M. Carter,Melissa Anschutz,Mary Alexandra Hunter"
Red Sky: Candidate 5238,2015,5.8,"Action,Sci-Fi,War",2h 2m,,Stewart Marshall,,"Rohan Mirchandaney,Antonios Baxevanidis,Axle Gunn"
From Beyond,2016,,"Horror,Sci-Fi",45m,,Gábor Erdélyi,"H.P. Lovecraft,Gábor Erdélyi,Balázs Pál Nagy","Katalin Mária Faragó,Csaba Bene,Viktória Bella"
The Evolution Effect,2017,,"Sci-Fi,Thriller",The Evolution Effect: Directed by Eric Darnell Redding.,,Eric Darnell Redding,"Vinnie Coppola,Eric Darnell Redding",
The Decline of the West,2015,,"Comedy,Horror,Sci-Fi",1h 39m,,Chris Coffman,,"Kathryn Winkler,Chris Coffman,John Russell Herbert"
Phoenix,2018,,"Fantasy,Romance,Sci-Fi",1h 9m,,Junyan He,,
Phil Herman's Doomsday Stories Cast and Crew: Confidential,2023,,Sci-Fi,2h,,Joel D. Wynkoop,,"Justin Bower,Thomas Antalek,Brooks Bailey"
Space Zombies: 13 Months of Brain-Spinning Mayhem!,2004,5.7,"Comedy,Horror,Sci-Fi",1h 18m,,"Helen Vong,Christopher Cordell,Regan Macaulay","Kevin Risk,Regan Macaulay","Jason Reilly,Kelsey Matheson,Kevin Risk"
Traveller: Red,2006,5.3,Sci-Fi,50m,,Andrew Merkelbach,,"Catherine Billingham,Marijana Kreso,John King"
Guardianes de la dimensión prohibida,1994,4.5,"Action,Fantasy,Mystery",1h 37m,,Homero Guadarrama,,"Mario Almada,Luis Reynoso,Marcos Almada"
Tetsudon: Fool Wars - Battlefront Japan,2016,,"Comedy,Fantasy,Sci-Fi",1h 22m,,"Akira Ishida,Yumi Artegg,Hayatomaru","Akira Ishida,Kenta Iwamoto,Hayatomaru","Kayo Hoshino,Yumi Artegg,Hayatomaru"
De apparatspott,1999,6.7,Sci-Fi,1h 38m,,Martin Hermann,"Dieter Köper,Martin Hermann","Thomas Baier,Udo Burmeister,Hansjuergen Hespos"
Invasion from the Planet of the Ghouls,2016,,Sci-Fi,51m,,Trevor Bather,,"Andrew Freud,Tyler Antoine,Elias Irrgang"
Kaher el-zaman,1987,6.3,"Drama,Sci-Fi",1h 45m,,Kamal El-Shaikh,"Ahmed Abdel Wahab,Nihad Sherif","Gamil Ratib,Nour El-Sherif,Athar El-Hakim"
Master: My Dear Pip 2,2023,,"Animation,Adventure,Drama","Master: My Dear Pip 2: Directed by Matthew Chambers. With Matthew Chambers, Abi Louise, Siobhan Gallichan, Asa Holmes.",,Matthew Chambers,,"Matthew Chambers,Abi Louise,Siobhan Gallichan"
Frequency,2012,5.9,"Sci-Fi,Thriller",1h , PG-13,Jeff Prince,,"Alexander Isaiah Thomas,Brittany Bass,Luca Della Valle"
"Richard Reese: Smoke, Jokes & Lasers",2013,,"Comedy,Sci-Fi",1h 8m , Not Rated,,,
Arcanum,2009,6.0,Sci-Fi,1h 20m,,Sanjay F. Sharma,,"Deborah Baum,Ken Proulx,Sasha Smith"
Cycladic Figures,2017,,Sci-Fi,1h 10m,,William Weller Leavitt,,"Katrina Lofgren,Josh Fadem,Cesl"
Dreams of Las Vegas,2021,7.1,"Drama,Sci-Fi,Thriller",1h 42m,,Per Anders Nilsson,,"Pernilla Eriksson,Carl Netterberg,Victor Dohlsten"
The Last Dimensionlord,2017,,Sci-Fi,"The Last Dimensionlord: Directed by Ken Kleiderman. With Anne Bradham, Derrick Hutek, Josh Greenberg, Ken Kleiderman. The Last Dimensionlord is a Sci-Fi/Comedy. It tells the story of Juno who is thrown into a world she had no idea of. She will travel across the universe in search of her long lost father to discover the truth about herself and her heritage.",,Ken Kleiderman,,"Anne Bradham,Derrick Hutek,Josh Greenberg"
Canswer,2015,4.3,"Drama,Horror,Sci-Fi",1h 22m,,Alfredo Salvatore Arcilesi,,"Robert Nolan,Kelly-Marie Murtha,Sarah Cunningham"
Kureji no buchamukure daihakken,1969,7.4,"Comedy,Sci-Fi",1h 24m,,Kengo Furusawa,,"Hitoshi Ueki,Kei Tani,Hajime Hana"
Left to Die,2011,,"Action,Sci-Fi,Thriller",1h 7m,,"Tony York,Brett Hickox","Tony York,Brett Hickox","Brett Hickox,Jerome Baker,Chris Bray"
The Gang,2018,,"Adventure,Sci-Fi","The Gang: Directed by Henry Suarez. With D.O. Gibson, El Guayabo, Luis Manuel, Lil Pump.",,Henry Suarez,"Henry Suarez,Ana Suarez","Luis Manuel,D.O. Gibson,El Guayabo"
Alone,2019,,Sci-Fi,"Alone: With Ralph Amoussou, Stany Coppet, Giorgia Sinicorni, Harrison Haynes. Special 4Dx Episode: Alessandra wakes up stranded in a dark cave hundreds of meters beneath the ground. Did she fell all the way down though that hole in the ceiling ? She must find an exit fast, the whole cavity is about to collapse.",,,"Raphael Penasa,Mathias Chelebourg","Ralph Amoussou,Stany Coppet,Giorgia Sinicorni"
Inepolis,1996,,"Crime,Sci-Fi",1h 20m,,Nikolaos Davas,,"Nikolaos Davas,Hristos Rigas,Victoria Haralabidou"
Aliens,2014,2.5,"Comedy,Mystery,Sci-Fi",1h 28m,,Hangyu Kim,,"Bummo Jung,Gijoong Han,Hangyu Kim"
Lipstick Dojo,2020,,"Action,Sci-Fi","Lipstick Dojo: Directed by Chip Perro, Rick Perro. With Jena Abbott, Gregory Athans, Samantha Rae Bass, Brina.",,"Chip Perro,Rick Perro",,"Samantha Rae Bass,Jena Abbott,Gregory Athans"
Spark,2016,,Sci-Fi,"Spark: Directed by Charles H. Joslain. With Saltana Bekturova, Charlie Guest, Elana Di Troya, Martin Jenson. An Alien comes to earth in the form of a man to experience human way of life. Breaking the rules of interacting and exposing himself, he falls in love with a human, somebody he should have never met. As a consequence he is taken away by his own people to inflict on him the worse of the punishments for disturbing the peace they've kept for so many eons.",,Charles H. Joslain,,"Elana Di Troya,Saltana Bekturova,Charlie Guest"
Berlin: Part 1,2016,6.1,"Fantasy,Horror,Mystery",1h 14m , Not Rated,Manny Velazquez,,"Dustin Hubbard,Alen Rios,Oscar Homolka"
The Oasis,2013,7.5,"Drama,Sci-Fi,Thriller",59m,,Saptaswa Basu,"Saptaswa Basu,Sulagna Ghosh","Mir Afsar Ali,Rajatabha Dutta,Saptarshi Ray"
Brief Intermission,2016,,"Drama,Sci-Fi,Thriller",1h 39m,,Misha Vertkin,,"Tom Babbage,Tom Bonington,Rosie Joly"
SoulBound,2019,,"Action,Fantasy,Sci-Fi","SoulBound: Directed by Matthew Stalletti. With Michael Mior, Joseph Stalletti, Matthew Stalletti. Awoken from a long and mysterious slumber, the Traveller must adapt to unfamiliar lands, unexpected threats, and a second chance at life. Together with the Voice in his head, the pair will venture into the brutal wilds of an alien world and fight to fulfill a deeply personal quest.",,Matthew Stalletti,,"Michael Mior,Matthew Stalletti,Joseph Stalletti"
Grey Island,2017,,"Animation,Sci-Fi",1h 5m,,Daniel Ekis,,
AKIYO,2015,7.1,"Drama,Music,Sci-Fi",1h 15m,,Onno Mara,,"Antino Crowley-Kamenwati,Mark Windsor,Rodja Martin Tröscher"
Geomorph,2009,,Sci-Fi,1h 40m,,Oliver Jetzki,,"Jan Ermen,Mirka Flögl,Marc Hodapp"
Syd and Chloe and the Myriad Worlds,2022,,Sci-Fi,40m,,Jay Kensinger,,"Greg Paroff,Helene Simkin Jara,Adrienne Carter"
River of Dread,2005,,"Comedy,Horror,Sci-Fi",53m,,Seneca Haynes,,"F.M. Turner,Dave Deshler,Deanna Nairns"
Minushi,2007,7.2,"Animation,Action,Adventure",1h 34m , Not Rated,Tyler Gibb,,"Tara Lutchman,Jay Donaldson,Tyler Gibb"
Wastelands Scout,2018,,Sci-Fi,1h 36m,,Aaron Kreltszheim,,"Aaron Kreltszheim,Aron Kalaii,Jeff Poole"
The Vanishing Dragon,2007,,"Action,Adventure,Drama",1h 5m,,Adam DeGazon,,"Adam DeGazon,Cara Castronuova,Jonathan Cherry"
Mount Skylight,2025,,Sci-Fi,"Mount Skylight: Directed by Taylor McNelis. With Matthew Sharpe, Morgan Flanagan, Brendan Gaffey, Madison Tolley. After returning from a hiking trip in the Shenandoah Valley; four hikers discover that everyone in their town has mysteriously disappeared. Combatting their own struggles with addiction and mental illness, they must fight to survive the emotional and physical turmoil bestowed upon them.",,Taylor McNelis,"Tristan Schuler,Taylor McNelis","Brendan Gaffey,Matthew Sharpe,Morgan Flanagan"
Deus Ex Baryon,2019,2.8,"Animation,Sci-Fi",1h 39m,,,,
Pursuit the Movie,2012,,Sci-Fi,1h 8m,,Joseph Chopin,"Andrew Havlik,Laura Martino,Rory Cunningham","Mennell Alkhawaja,Nate Borowski,Jacob Borowski"
Project Eve,2017,,Sci-Fi,1h 49m,,Jeff Brewer,,"Conor Danaher,Riley Cusick,Maidelys Rey"
Denizen,2010,5.4,"Action,Horror,Sci-Fi",1h 23m , Not Rated,J.A. Steel,,"Ben Bayless,Julie Corgill,Glen Jensen"
The Glasses 3D,2024,,Sci-Fi,"The Glasses 3D: Directed by Dwayne Buckle. With T.J. Craig, Nicholas M. Garofolo, Raheem Hamilton, Randy Jones. A man on the run for a crime he didn't commit, comes across a pair of sunglasses that enables him to see into the near future.",,Dwayne Buckle,,"T.J. Craig,Nicholas M. Garofolo,Raheem Hamilton"
Enfoiré de président,2009,,"Comedy,Sci-Fi",50m,,"Julien Fournet,Mathieu Sans","Julien Fournet,Mathieu Sans","Stéphane Facco,Pierre Matras,Alexandre Zacharia"
Symbiote,2015,6.4,Sci-Fi,1h 30m,,"Simon Birks,Marielle Birks",,"Rosanna Long,Simon Birks,Marielle Birks"
Der Meister der Welt,1927,,"Action,Adventure,Sci-Fi","Der Meister der Welt: Directed by Gennaro Righelli. With Fred Solm, Xenia Desni, Olga Tschechowa, Paul Graetz.",,Gennaro Righelli,"Leo Birinsky,Erika Von Der Bussche,Werner Scheff","Fred Solm,Olga Tschechowa,Xenia Desni"
"Hilfe, ich bin unsichtbar",1951,6.1,"Comedy,Sci-Fi",1h 28m,,E.W. Emo,"Curth Flatow,Erwin Kreker,Rolf Meyer","Inge Landgut,Theo Lingen,Fita Benkhoff"
Bride of the Saucer Monster,2014,,"Comedy,Fantasy,Horror","Bride of the Saucer Monster: Directed by Jerry Williams. With Kenny Bates, Matt Enstrom, Stacey T. Gillespie, Seb Godin.",,Jerry Williams,,"Matt Enstrom,Stacey T. Gillespie,Kenny Bates"
Ku_on,2013,6.1,"Action,Drama,Sci-Fi",1h 18m , Not Rated,Takayuki Hatamura,,"Sou Sato,Nana Seino,Haruna Isaoka"
Kurzzeithelden,2015,7.3,Sci-Fi,45m,,"Roman Gonther,Christine Wagner","Roman Gonther,Thomas F. Gallasch,Olaf Lemitz","Thomas Scharff,Stephanie Kellner,Francesco Pahlevan"
Central Enforcement,2004,,Sci-Fi,"Central Enforcement: Directed by Gregory Scott Perez. With Christiana Algoso, Sam Bologna, C.J. Carithers, Michael Elkington.",,Gregory Scott Perez,,"Sam Bologna,Christiana Algoso,C.J. Carithers"
USS Angeles: The Price of Duty,1998,5.5,Sci-Fi,1h 12m,,Rob Caves,"Jennifer Cole,Dave Mason,Rob Caves","Janice Willcocks,Jennifer Cole,Jason Munoz"
Polypore,2013,6.9,"Adventure,Sci-Fi",1h 10m , Not Rated,Jesse Barack,"Jesse Barack,Kyle Barry","Chen Tang,Jeffrey Bielat,Jonathan Thomson"
Le joueur de quilles,1968,6.4,Sci-Fi,1h 30m,,Jean-Pierre Lajournade,,"Tobias Engel,Fiammetta Ortega,Hugues Autexier"
Awaken,2009,,"Action,Adventure,Drama",1h 22m,,Murad B. Yunus,,
Planet Void,2015,,Sci-Fi,55m , Not Rated,Michael Legge,,
Compramos gente,1988,,Sci-Fi,"Compramos gente: Directed by Elio Quiroga. With Daniel Roca Arencibia, Albino Graziani, Miguel Hernández. Antonio is a good worker, but he is not entirely free. An electronic circuit in his brain allows him to be controlled remotely.",,Elio Quiroga,,"Daniel Roca Arencibia,Albino Graziani,Miguel Hernández"
Centre Island,2014,,"Drama,Fantasy,Sci-Fi",1h 10m,,Geoffrey Pugen,"Geoffrey Pugen,Adam Pugen","Manden Murphy,Rachael Brioux,Sophie Blumenthal"
Safari Park,2017,,Sci-Fi,1h 33m,,"Micha Massias,Michaël Massias",,"Adrian Tourn,Renaud Heine,Anne Arovas"
The Wisdom of Solomon,2011,,Sci-Fi,1h 24m,,Elliott Eddie,,"Shannon Brinson,Shanequa Carmon,Jamie Carmon"
Timeserver,2004,1.2,"Drama,Romance,Sci-Fi",1h 53m , Not Rated,Robert Alaniz,,"Gary Gow,Jodi London,Riley Duhamel"
Forest of Eden,2015,,Sci-Fi,"Forest of Eden: Directed by Chen Dubrin. With Scotty Wood, Cameron Mark Lewis, Steve Tanabe, Andrea Searby. A Science Fiction Thriller about a mysterious jewel that appears in our dimension, its dangerous power leaves the fate of the world in the hands of a few teenagers.",,Chen Dubrin,,"Cameron Mark Lewis,Steve Tanabe,Scotty Wood"
Virtue,1999,6.4,"Comedy,Sci-Fi",1h 5m,,Camera Obscura,,"Connie Champagne,Diana Brown,Jello Biafra"
Homestead Haunted House,2013,,"Horror,Sci-Fi","Homestead Haunted House: Directed by Samuel Brock Flynn. With Aly Farr, Samuel Brock Flynn, Scott Riddle. A ghost is haunting a house and making family and friends afraid.",,Samuel Brock Flynn,,"Aly Farr,Samuel Brock Flynn,Scott Riddle"
The Legend of Chronos Jaunter,2019,,"Romance,Sci-Fi",1h 27m,,Kentarô Hachisuka,"Ryôma Ôta,Shinji Kajio,Kentarô Hachisuka","Kent Igarashi,Hiroe Igeta,Kenta Akayama"
Planet of the Mermaids,2011,,Sci-Fi,50m,,"Chad Salvata,Sergio R. Samayoa",,"Jonathan Blackwell,David Jewell,Betsy McCann"
Seji,2020,,Sci-Fi,"Seji: Directed by Ramón Poveda. With Andres Munster Molina, Andrea Schwartzmann, Jimena del Barrio, Kathy Contreras.",,Ramón Poveda,,"Jimena del Barrio,Andrea Schwartzmann,Andres Munster Molina"
Stem Cells: The Secret to Immortality,2020,,"Documentary,Sci-Fi",46m,,Kim Harrington,,
The Down Home Alien Blues,2012,,"Romance,Sci-Fi",1h 36m,,C. Duke Marsh,"C. Duke Marsh,Linnea Sinclair","Derek Partridge,Nathalie Biermanns,Jay Mitsch"
The Great Air Robbery,1919,2.8,"Sci-Fi,Adventure",1h,,Jacques Jaccard,"George Hively,Jacques Jaccard","Allan Forrest,Ray Ripley,Ormer Locklear"
Trailers,2016,6.8,"Fantasy,Horror,Mystery",3h,,Rouzbeh Rashidi,,"Alicja Ayres,Martin Berridge,Jann Clavadetscher"
Crônicas Estelares: Livro de Memorias,2015,7.6,"Action,Fantasy,Sci-Fi",1h 15m,,Marcelo N. Reis,"Marcelo N. Reis,Luciano Nascimento","Marcelo Castanheira,Babi Chagas,Luana Dias"
Meinong's Jungle,2024,,"Action,Drama,Sci-Fi",1h 49m,,Manuel Hai,,"Deisy Mesías García,Sofía Escobar,James de Alba"
Fifth City,2003,6.4,"Action,Comedy,Sci-Fi","Fifth City: Directed by Eric Thornett. With Cash Flagg Jr., Christi Etcher, Eric Thornett, David Lee Stewart.",,Eric Thornett,,"Christi Etcher,Cash Flagg Jr.,Eric Thornett"
Cold in All the Sunshine,2014,,Sci-Fi,1h,,Tommy Heffron,,"Jerzy Rose,Gwyneth Anderson"
Thanks for Nothing,2017,,Sci-Fi,"Thanks for Nothing: Directed by Trey Lane. With Ross Cobb, Sarah Craddock, Steven Doyle, Aaron Esters.",,Trey Lane,,"Steven Doyle,Sarah Craddock,Ross Cobb"
Brown Truck,2017,,Sci-Fi,"Brown Truck: Directed by Elliot Norton. With Chuck Norton, Zoë Kelly, Wesley Grover, Josiah Michael Virgin. After four people test an experimental application, they begin to notice changes in their personalities. Soon, they discover they are the first humans to merge with electronics in a step toward technological and biological singularity.",,Elliot Norton,,"Zoë Kelly,Chuck Norton,Wesley Grover"
Brain Wave,2005,,Sci-Fi,"Brain Wave: Directed by Terra Shin. With Do Joon Kim, Do-Yoon Kim, Choon-ha Hwang, Se Yoon Jang. A man suffering from severe headaches (Jun Oh) discovers that he has hidden psychic powers. Two detectives discover a corpse under a bridge and then follow a trail of corpses leading them to Jun Oh. In the process they uncover a strange conspiracy involving brain experiments.",,Terra Shin,,"Do-Yoon Kim,Choon-ha Hwang,Do Joon Kim"
Star System,2015,,"Adventure,Sci-Fi",1h 20m,,Tiziano Paltrinieri,"Tiziano Paltrinieri,Carlotta Bergamini","Eleonora Massa,Enzo Mazzullo,Dario Leone"
Suicide Preachers,2011,,"Comedy,Horror,Sci-Fi","Suicide Preachers: Directed by Nick Box. With Duncan Arnot, Nick Box, Marcus Caballero, Jackie Eighteen. A small seaside town is invaded by aliens with the ability to make people kill themselves.",,Nick Box,,"Marcus Caballero,Duncan Arnot,Nick Box"
Oigye Eseo on Ulemae 9: Mujeok Ui Paiteo Ulemae,1993,7.6,"Action,Comedy,Sci-Fi","Oigye Eseo on Ulemae 9: Mujeok Ui Paiteo Ulemae: Directed by Han-yeol Lee. With Hyung-rae Shim, Yu Bin, Mun Hyeok, Jeong Eun-Yeong. Superhero's Epserman and Daily must team up yet again to take down Khan, a villainous alien who has invaded earth to avenge his brother, who was defeated by the Thunderhawk.",,Han-yeol Lee,,"Hyung-rae Shim,Mun Hyeok,Yu Bin"
Gizemli Anahtar,2021,,Sci-Fi,"Gizemli Anahtar: With Umut Günel, Yusuf Emir Günel. After losing their family in a traffic accident, two brothers find a key in their newly moved home. As mysterious as the key, the Mystery Key forces them to switch between dimensions. They learn that there are different lives of different dimensions. Doors break down because the key is cursed.",,,,"Umut Günel,Yusuf Emir Günel"
Infinity Girls,2015,,Sci-Fi,"Infinity Girls: Directed by Trey Lane. With Mirranda Lewis, Taylor Knighton, Simeon Coxe, Katelyn Costello.",,Trey Lane,"Daniel Hathcock,Trey Lane,Timothy Dixon","Taylor Knighton,Simeon Coxe,Mirranda Lewis"
Hamesima X,2010,4.8,"Drama,Sci-Fi,Thriller",1h 31m,,"Yuval Ovadia,Prosper Malka,Or Yashar","Yuval Ovadia,Prosper Malka,Or Yashar","Yuval Ovadia,Sharon Raginiano,Danny Steg"
Alieni a Ponte Mammolo,2008,3.6,Sci-Fi,1h 5m,,Diana De Paolis,"Flavio Iannelli,Diana De Paolis","Flavio Iannelli,Armando Carlone"
Severance,2010,5.1,"Drama,Sci-Fi","Severance: Directed by Dany Gehshan. With Ash Catherwood, Vanessa Burns, Paul Fowles, Ginette Gaskin. A thought-provoking science fiction drama about a conniving advertising executive who finds himself battling for custody of his own soul after he discovers that his alter ego is physically living his life for him.",,Dany Gehshan,,"Vanessa Burns,Ash Catherwood,Paul Fowles"
L'invasione degli astronazi,2009,5.7,"Comedy,Horror,Sci-Fi",1h 27m,,Alberto Genovese,,"Andrea Cataudella,Sara Cannata,Giovanni De Giorgi"
The Plagued,2015,,Sci-Fi,"The Plagued: Directed by Sebastian Nagy. With Matthew Sauvé, Phi Huynh, Suzanne Miller, Jessie Yang. In 2015, the Chinese navy enters Japanese waters and threatens to invade Japan. However, they do not attack and instead they start to run military drills trying to get the Japanese to attack them. Seeing this unfold President James Miller sends American Navy ships into the sea of Japan in hopes of avoiding a global war. Meanwhile, President James Miller and Prime Minister Guillaume Maple send a team of highly trained operatives to Japan in hopes they have a chance to take out Dr. Chung Yung who seems to be behind the invasion plans. By the time they find out what are the true plans of Dr. Chung Yung, it is too late to avoid of a global plague.",,Sebastian Nagy,"Sebastian Nagy,Adam Pucci","Matthew Sauvé,Phi Huynh,Suzanne Miller"
Who Killed Che Guevara,2022,,"Adventure,Drama,Sci-Fi","Who Killed Che Guevara: With Karlos Granada, Rafael Vega Gomez-Galan, Diana Soley, Fabio Torrez.",,,,"Karlos Granada,Rafael Vega Gomez-Galan,Diana Soley"
